"","X1","X1_2","X1_1","uge","vare","X3","prod_cat","intervention","oms.x","week","vare_grp","oms.y","diff","se"
"32",32,96,96,1,5700383591045,"<d8>ko Courgetter","squash","label",47,1,"vegetables",84,-37,11.0126557367683
"33",33,97,97,1,5700383878061,"San Marzanotomat","tomato","label",52,1,"vegetables",119,-67,11.0126557367683
"34",34,99,99,1,5700384125287,"<d8>KO <c4>NGLAMARK HVEDEMEL DK 1 KG","flour","label",15,1,"bread/flour",13,2,11.0126557367683
"35",35,100,100,1,5700384380556,"<c4>M <d8>ko Blommetomater","tomato","label",32,1,"vegetables",39,-7,11.0126557367683
"36",36,101,101,1,5700384882302,"SF Mix tomater","tomato","label",34,1,"vegetables",30,4,11.0126557367683
"37",37,102,102,1,5700384899577,"R<d8>DK<c5>L 1000-2000 GR","cale","label",5,1,"vegetables",NA,NA,11.0126557367683
"38",38,103,103,1,5700384984211,"GULER<d8>DDER 1,5 KG","carrots","label",55,1,"vegetables",42,13,11.0126557367683
"39",39,104,104,1,5701677001257,"CHAMPIGNON 250 gr.","mushrooms","label",29,1,"vegetables",38,-9,11.0126557367683
"40",40,105,105,1,5750006300721,"Kart Vildmose 1,5 kg","potato","label",43,1,"vegetables",28,15,11.0126557367683
"41",41,106,106,1,5750006304415,"SF Kart Asparges 1 k","potato","label",12,1,"vegetables",16,-4,11.0126557367683
"42",42,107,107,1,5750006321023,"<c4>NGLA P<c6>RER 500gr","pear","label",12,1,"fruit",10,2,11.0126557367683
"43",43,108,108,1,5750006323393,"<d8>KO <c4>M Guler<f8>dder 1","carrots","label",61,1,"vegetables",109,-48,11.0126557367683
"44",44,109,109,1,5750006326691,"<c4>ngla Broccoli","broccoli","label",54,1,"vegetables",40,14,11.0126557367683
"45",45,110,110,1,5750006327728,"<c4>ngla R<f8>dbeder 1 kg","beats","label",14,1,"vegetables",14,0,11.0126557367683
"46",46,111,111,1,5750006329289,"Blomk<e5>l","cale","label",108,1,"vegetables",122,-14,11.0126557367683
"47",47,112,112,1,5750006331084,"Kartofler Bage 1,5 k","potato","label",28,1,"vegetables",22,6,11.0126557367683
"48",48,113,113,1,5750006339622,"Kartofler Mos 2 kg","potato","label",21,1,"vegetables",19,2,11.0126557367683
"49",49,114,114,1,5750006343506,"<c4>ngla <d8>ko tomater","tomato","label",17,1,"vegetables",19,-2,11.0126557367683
"50",50,115,115,1,5750006344084,"Angla R<f8>dl<f8>g 750 gr","onion","label",29,1,"vegetables",30,-1,11.0126557367683
"51",51,116,116,1,5750006344138,"K&A Classic tomater","tomato","label",15,1,"vegetables",38,-23,11.0126557367683
"52",52,117,117,1,5750006361050,"P<c6>RER 1KG","pear","label",48,1,"fruit",38,10,11.0126557367683
"53",53,118,118,1,5750006363634,"<c4>nglamark <e6>bler 1 kg","apples","label",33,1,"fruit",88,-55,11.0126557367683
"54",54,119,119,1,5756605000390,"Kart Alexandra 850 g","potato","label",6,1,"vegetables",6,0,11.0126557367683
"55",55,121,121,1,7340011321194,"COOP MINERALVAND 50C","water","label",324,1,"water",382,-58,11.0126557367683
"56",56,122,122,1,7340011340058,"L<d8>SE MAJS X-TRA 300/285 G","corn","label",33,1,"canned",34,-1,11.0126557367683
"57",57,123,123,1,7340011351085,"COOP L<d8>SE MAJS 3-PAK 594/504 G","corn","label",15,1,"canned",10,5,11.0126557367683
"58",58,125,125,1,7340011364368,"COOP MINERALVAND 2L","water","label",58,1,"water",55,3,11.0126557367683
"59",59,126,126,1,7340011464587,"X-TRA R<d8>DBEDER I SKIVER 670/430 G","beats","label",13,1,"vegetables",16,-3,11.0126557367683
"60",60,127,127,1,7340011481782,"<d8>ko <c4>M HK Spinat","spinage","label",16,1,"vegetables",18,-2,11.0126557367683
"61",61,128,128,1,7340011487906,"<d8>KO <c4>NGLAMARK KIK<c6>RTER 380/230 G","chickpea","label",64,1,"canned",62,2,11.0126557367683
"62",62,129,129,1,7340191112582,"<d8>ko <c4>M Broccoli 400g","broccoli","label",16,1,"vegetables",16,0,11.0126557367683
