"","X1","uge","vare","X3","prod_cat","intervention","oms.x","week","vare_grp","oms.y","diff","diff_perc","int_type","se","mean"
"74",98,2,NA,NA,NA,"inspiration",NA,NA,NA,43,10,NA,"convenience_bags",6.21,8.35
"75",99,2,NA,NA,NA,"inspiration",NA,NA,NA,10,1,NA,"convenience_bags",6.21,8.35
"76",100,2,NA,NA,NA,"inspiration",NA,NA,NA,13,3,NA,"convenience_bags",6.21,8.35
"77",101,2,NA,NA,NA,"inspiration",NA,NA,NA,153,112,NA,"convenience_bags",6.21,8.35
"78",102,2,NA,NA,NA,"inspiration",NA,NA,NA,40,11,NA,"convenience_bags",6.21,8.35
"79",103,2,NA,NA,NA,"inspiration",NA,NA,NA,45,-11,NA,"convenience_bags",6.21,8.35
"80",104,2,NA,NA,NA,"inspiration",NA,NA,NA,17,-1,NA,"convenience_bags",6.21,8.35
"81",105,2,NA,NA,NA,"inspiration",NA,NA,NA,56,25,NA,"convenience_bags",6.21,8.35
"82",106,2,NA,NA,NA,"inspiration",NA,NA,NA,1,6,NA,"convenience_bags",6.21,8.35
"83",107,2,NA,NA,NA,"inspiration",NA,NA,NA,54,5,NA,"convenience_bags",6.21,8.35
"84",108,2,NA,NA,NA,"inspiration",NA,NA,NA,89,15,NA,"convenience_bags",6.21,8.35
"85",109,2,NA,NA,NA,"inspiration",NA,NA,NA,10,0,NA,"convenience_bags",6.21,8.35
"86",110,2,NA,NA,NA,"inspiration",NA,NA,NA,26,16,NA,"convenience_bags",6.21,8.35
"87",111,2,NA,NA,NA,"inspiration",NA,NA,NA,66,-43,NA,"convenience_bags",6.21,8.35
"88",112,2,NA,NA,NA,"inspiration",NA,NA,NA,9,1,NA,"convenience_bags",6.21,8.35
"89",113,2,NA,NA,NA,"inspiration",NA,NA,NA,4,16,NA,"convenience_bags",6.21,8.35
"90",114,2,NA,NA,NA,"inspiration",NA,NA,NA,6,8,NA,"convenience_bags",6.21,8.35
"91",115,2,NA,NA,NA,"inspiration",NA,NA,NA,8,12,NA,"convenience_bags",6.21,8.35
