Salgsplads;uge;vare;;oms;index_oms_stk;oms_kr;index_oms_kr;avance_kr;index_avanc_ kr;avance_perc;antal_kunder_1000;oms_pr_1000_kunde;avance_pr_1000_kunde
Plads 01;Uge 2021-40;5750006361050;PÆRER 1KG;17;59;286;63;102;70;35,7%;9;33 ;12
Plads 01;Uge 2021-40;5750006363634;Änglamark æbler 1 kg;26;163;624;188;247;211;39,6%;9;72 ;28
Plads 01;Uge 2021-40;5756605000390;Kart Alexandra 850 g;2;50;35;50;17;50;47,7%;9;4 ;2
Plads 01;Uge 2021-40;7340011320777;ØKO ÄNGLAMARK MAJSMEL 500 G;1;11;18;11;12;12;65,2%;9;2 ;1
Plads 01;Uge 2021-40;7340011321194;COOP MINERALVAND 50C;109;108;406;102;301;103;74,1%;9;47 ;35
Plads 01;Uge 2021-40;7340011340058;LØSE MAJS X-TRA 300/285 G;10;;38;;2;;5,3%;9;4 ;0
Plads 01;Uge 2021-40;7340011351085;COOP LØSE MAJS 3-PAK 594/504 G;2;25;26;26;11;22;40,6%;9;3 ;1
Plads 01;Uge 2021-40;7340011352549;FULDKORNSMEL COOP 1 KG;4;;40;;27;;68,2%;9;5 ;3
Plads 01;Uge 2021-40;7340011364368;COOP MINERALVAND 2L;31;310;112;310;40;352;35,6%;9;13 ;5
Plads 01;Uge 2021-40;7340011464587;X-TRA RØDBEDER I SKIVER 670/430 G;8;114;30;111;-4;88;-13,2%;9;3 ;0
Plads 01;Uge 2021-40;7340011481782;Øko ÄM HK Spinat;7;88;78;88;39;84;50,4%;9;9 ;5
Plads 01;Uge 2021-40;7340011487906;ØKO ÄNGLAMARK KIKÆRTER 380/230 G;27;208;237;212;164;235;69,5%;9;27 ;19
Plads 01;Uge 2021-40;7340191112582;Øko ÄM Broccoli 400g;5;;56;;27;;47,8%;9;6 ;3
